,YEAR,PP_COMB,LN_INT,LN_NOINT,TIMBER
0,2021,346831.7617570297,4960.1721716107,14027.208,205608.19551908798
1,2022,379903.82225697464,5535.729355508267,16760.925000000003,201946.2
2,2023,504028.51626445603,6252.44438548564,20201.294,221170.2910381759
3,2024,514010.9589292705,8287.565132521506,16750.453,162880.19
